"SystemNumber"	"InfiltrationTypeName"	"SystemStorageVolume"	"StormSizeManaged"	"SystemContributingImperviousArea"	"ProjectName"	"ConstructionCompletedDate"	"CAPITStatus"
"15-2"	"Detention/Slow Release"	1306.8	1.27285714285714	12320	"12th St from Dickinson St to Tasker St"	2013-09-17	"Closed"
"1-1"	"Infiltration"	1604	0.858557473571524	22419	"7th St, 8th St, and Cumberland St (Hartranft School)"	2010-11-10	"Closed"
"18-1"	"Detention/Slow Release"	571	0.465015269765864	14735	"16th St between Passyunk Ave and Jackson St"	2010-11-10	"Closed"
"181-1"	"Infiltration"	1260	0.7875	19200	"47th & Grays Ferry"	2007-04-01	"Closed"
"185-1"	"Infiltration"	3080	1.1366362210536	32517	"Clark Park Basketball Court"	2007-11-01	"Closed"
"186-1"	"Infiltration"	691	0.305459367862669	27146	"Cliveden Park"	2007-10-01	"Closed"
"192-1"	"Infiltration"	551	1.02416356877323	6456	"Herron Playground Basketball Court"	2012-10-02	"Closed"
"194-1"	"Detention/Slow Release"	849	1.2735	8000	"Liberty Lands"	NA	"Closed"
"197-1"	"Infiltration"	1870	2.4	9350	"Mill Creek Playground Basketball Court"	2006-06-02	"Closed"
"207-1"	"Infiltration"	1937	1.88424124513619	12336	"McMahon St (Waterview Recreation Center)"	NA	"Closed"
"208-1"	"Infiltration"	281	0.316738681194815	10646	"Ogden St and Ramsey St (West Mill Creek Recreation Center)"	2006-01-01	"Closed"
"240-1"	"Infiltration"	657	1.66329113924051	4740	"Percy St from Catharine St to Christian St"	2011-07-18	"Closed"
"310-1"	"Infiltration"	3973	1.35143715630138	35278	"Eadom Parking Lot"	NA	"Closed"
"5-1"	"Infiltration"	732	2.196	4000	"Queen Lane from Henry St to Fox St"	2011-05-14	"Closed"
"9-1"	"Infiltration"	494	2.11336898395722	2805	"Palmer St from Frankford Ave to Blair St (Shissler Playground)"	2010-11-10	"Closed"
"20-1"	"Infiltration"	183	0.502287282708143	4372	"Bureau of Laboratory Services"	2011-05-14	"Closed"
"45-1"	"Infiltration"	1011	1.1807299270073	10275	"Benjamin Franklin Parkway from 21st St to 23rd St"	NA	"Closed"
"46-1"	"Infiltration"	2898	0.983762376237624	35350	"Lancaster Ave from N 58th St to N 63rd St"	NA	"Closed"
"170-1"	"Infiltration"	1906	2.63502304147465	8680	"Shissler Playground"	2010-10-10	"Closed"
"180-1"	"Infiltration"	454	1.12818388900393	4829	"Reese St"	2011-11-05	"Closed"
"196-1"	"Infiltration"	360	0.309855114043896	13942	"West Mill Creek Farm Swales"	2006-05-01	"Closed"
"342-1"	"Infiltration"	1075	1.02887222842559	12538	"Diamond St"	2011-11-05	"Closed"
"325-1"	"Infiltration"	817	1.04732400384574	9361	"8th St"	2011-11-05	"Closed"
"327-1"	"Infiltration"	806	1.02653364466143	9422	"9th St"	2011-11-05	"Closed"
"324-1"	"Infiltration"	593	1.02683982683983	6930	"Earl St (Hetzell Playground)"	2011-11-05	"Closed"
"326-1"	"Infiltration"	818	1.03588011819333	9476	"Front St"	2011-11-05	"Closed"
"211-1"	"Detention/Slow Release"	2275	1.01960784313725	26775	"Haverford Ave, 57th St and Vine St (Shepard Recreation Center)"	2012-12-13	"Closed"
"211-2"	"Detention/Slow Release"	2972	1.96756041046011	18126	"Haverford Ave, 57th St and Vine St (Shepard Recreation Center)"	2012-12-13	"Closed"
"211-3"	"Detention/Slow Release"	2170	1.35195472716889	19261	"Haverford Ave, 57th St and Vine St (Shepard Recreation Center)"	2012-12-13	"Closed"
"216-1"	"Detention/Slow Release"	3894	1.05404673824777	44332	"Pine St, Frazier St, and 57th St (Andrew Hamilton School)"	2012-12-13	"Closed"
"255-1"	"Infiltration"	2393	1.13952380952381	25200	"Kenmore Rd, Haddington St, and Atwood Rd (Cassidy Elementary School)"	2013-09-09	"Closed"
"255-2"	"Infiltration"	1988	1.40818133522224	16941	"Kenmore Rd, Haddington St, and Atwood Rd (Cassidy Elementary School)"	2013-09-09	"Closed"
"256-1"	"Detention/Slow Release"	2446	1.10637014700339	26530	"62nd St and Lebanon (Overbrook Elementary)"	2013-09-09	"Closed"
"257-1"	"Detention/Slow Release"	2144	1.01687680328841	25301	"Old Cathedral Cemetary"	2013-09-09	"Closed"
"253-1"	"Detention/Slow Release"	2182	1.04032738686479	25169	"47th St, 48th St, Wyalusing Ave (Muhammed Square)"	2013-09-09	"Closed"
"253-2"	"Infiltration"	830	1.39515338282673	7139	"47th St, 48th St, Wyalusing Ave (Muhammed Square)"	2013-09-09	"Closed"
